_id,problem,answer,solString,drawing_image_name,label
65ddefc6ea002332c34667c8,"""Skriv vikten $4$ ton i kilogram.""","[""4000""]",4000,6a698ce0-d57b-11ee-91a5-5740fbf7f6a5.jpg,0.0
66c4eeb8ec1ce744844fc721,"""Rick puts $15$ tennis balls into cans. Each can holds $3$ balls. Circle groups of $3$ to show the balls in each can.\n\nRick needs $\\underline{\\hspace{0.5cm}}$ cans.""","[""5""]","""\\begin{aligned}12345\\\\\n00000\\end{aligned}""",96faf8f0-5f2a-11ef-a746-b199866c912f.jpg,1.0
679b4ab3b650ebf5db0afc12,"""Hur stor är vinkeln?""","[""40""]","""40""",3960f420-deef-11ef-aa83-c52f06cd8db0.jpg,0.0
679b4472b659721fa1ac628d,"""Vilket tal pekar timvisaren på?""","[""10""]","""1\\mathscr{F} """,7f2c8680-deeb-11ef-aa83-c52f06cd8db0.jpg,0.0
679b4b01ebb2365ffcc34208,"""Hur många grader vrider du dig när du snurrar ett och ett halvt varv?""","[""540""]","""\\dfrac{\\begin{pmatrix}\n\\dfrac{3^{1}6\\sigma }{z}= \\\\\n3660+\n\\end{pmatrix}_{1}8^{4^{8}}}{a}\\cdot 0^{0^{0}}=""",67b3a070-deef-11ef-8912-bf30d2c2fd41.jpg,0.0
66c59d2cb928bd7bc2eaf87e,"""Skriv som en tiopotens.\n\n$10 \\cdot 10 \\cdot 10 \\cdot 10 \\cdot 10=$""","[""10^[5]""]","""10^{5}""",92671db0-5f92-11ef-83c7-c166a6b49f2c.jpg,0.0
66c5c40ab928bd7bc2f56ddb,"""Beräkna. \n\n$10+20=$""","[""30""]","""10+20=30""",bd7778d0-5fa9-11ef-83c7-c166a6b49f2c.jpg,1.0
66c596d09ad9ae2eb34b75c6,"""Beräkna.\n\n$9\\ · 5=$""","[""45""]",9  * 5=45,c8257ef0-5f8e-11ef-9016-d5df574c02f3.jpg,1.0
679b45babc0fd87e08cf6087,"""Calculate.\n\n$96.78-54.33=$""","[""42.45""]","""\\begin{aligned}96.78\\\\\n\\dfrac{-56.33}{\\dfrac{42.45}{}}\\end{aligned}""",428e87e0-deec-11ef-a807-47f8f54c4711.jpg,1.0
66c44625ffaabe68cb6b1198,"""Vad är värdet av entalssiffran i talet 87?""","[""7""]","""\\begin{aligned}1\\\\\n5ju\\end{aligned}""",1d22cc10-5ec6-11ef-a10c-a36933657f8b.jpg,0.0
679b45c354996f4dac769996,"""Förläng bråket med talet 2. \n\n${\\Large \\frac{1}{2}}=$""","[""[2/4]""]","""\\dfrac{1\\cdot 2}{2\\cdot 2}=\\dfrac{2}{4}""",48135790-deec-11ef-a628-5d56ba0f45a8.jpg,1.0
65defda6804aabb919ab19ec,"""Brasiliens valuta heter Brasilien Real ( BRL) 1 BRL $=$ 3 SEK. \n\nI en affär hittar Sara de här sakerna som hon vill köpa.\n- Visselpipa 3,15 BRL\n- T-shirt 35,00 BRL\n- Vimpel 8,20 BRL\n\nSara köper fyra visselpipor, en T-shirt och två vimplar.  Hur mycket kostar sakerna som hon köper i svenska kronor (SEK)? *Visa hur du löser uppgiften.*""","[""192""]",64  mathrm{BRL},46488450-d61c-11ee-8901-8dad299fb5bf.jpg,0.0
66c58e7ff72a18a35da89266,"""Beräkna.\n\n $36 - 14=$""","[""22""]",  36     n  -19/22  ,d31016e0-5f89-11ef-bddf-e5feac673c30.jpg,1.0
66c5b24dd6f49734eb80e9aa,"""Hur stor andel av frukterna är päron?""","[""[2/5]""]","""\\dfrac{2}{5}.""",29fe86c0-5f9f-11ef-82dd-839783cc1374.jpg,0.0
679b4483a28ccd2d7b970837,"""Minna ska köpa glass, och väljer mellan 2 olika smaker, 2 sorters strössel och 2 sorters sås. Hur många olika kombinationer kan hon välja mellan?""","[""8""]","""2\\cdot 2\\cdot 2=""",88fd57c0-deeb-11ef-a628-5d56ba0f45a8.jpg,1.0
679b500754996f4dac7b4794,"""Vilket tal fattas?\n\n$\\underline{\\hspace{0.5cm}} +5=9$""","[""4""]","""4:""",66ad73b0-def2-11ef-a8e6-5b18f8aee6ae.jpg,0.0
663213527b55d311d8a9edef,"Beräkna. 

$ 17 - 7 = $","[""10""]",17-7=10,fcbd7ae0-07a1-11ef-aa20-3bd61271a8cb.jpg,1.0
679b4451a7ef42554dcc824c,"""Beräkna $16+3\\cdot8=$""","[""40""]","""5\\cdot 8=24+16=+0""",6b629b80-deeb-11ef-a628-5d56ba0f45a8.jpg,1.0
65f40902b8a4f68dcbdf799d,"Vilket tal saknas? 

$7$ kg $=\ \underline{\hspace{1cm}}$ hg","[""70""]",7 mathrm{~kg}=70 mathrm{hg},631b1880-e2a7-11ee-9a56-e3eae6f51f45.jpg,1.0
